,id,postcode,house_is,property_subtype,price,rooms_number,area,equipped_kitchen_has,furnished,open_fire,terrace,terrace_area,garden,garden_area,land_surface,facades_number,swimming_pool_has,building_state_agg
36,https://www.immoweb.be/en/classified/apartment/for-sale/herstal/4040/9073867,4040,False,apartment,203500.0,2,96.0,True,False,False,True,8.0,False,,,,False,
37,https://www.immoweb.be/en/classified/penthouse/for-sale/herstal/4040/9073864,4040,False,penthouse,201500.0,2,82.0,True,False,False,True,14.0,False,,,,False,
38,https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/9073863,9000,False,apartment,325000.0,2,103.0,True,False,False,True,4.0,False,,,,False,
39,https://www.immoweb.be/en/classified/duplex/for-sale/bruxelles-2/1020/9073821,1020,False,duplex,235000.0,2,90.0,True,False,False,True,10.0,True,25,,,False,
40,https://www.immoweb.be/en/classified/flat-studio/for-sale/oostduinkerke/8670/9073794,8670,False,flat-studio,149000.0,1,30.0,False,False,False,False,,False,,,,False,
41,https://www.immoweb.be/en/classified/ground-floor/for-sale/aalst/9300/9073804,9300,False,ground-floor,,2,,False,False,False,False,,False,,,,False,
42,https://www.immoweb.be/en/classified/apartment/for-sale/schoten/2900/9073786,2900,False,apartment,182000.0,2,97.0,True,False,False,False,,False,,,,False,
43,https://www.immoweb.be/en/classified/apartment/for-sale/ganshoren/1083/9073780,1083,False,apartment,275000.0,2,,True,False,False,True,,False,,,,False,
44,https://www.immoweb.be/en/classified/apartment/for-sale/schaerbeek/1030/9073779,1030,False,apartment,265000.0,3,,True,False,False,True,,False,,,,False,
45,https://www.immoweb.be/en/classified/apartment/for-sale/kapellen/2950/9038348,2950,False,apartment,213000.0,2,74.0,True,False,False,True,8.0,False,,,,False,
46,https://www.immoweb.be/en/classified/apartment/for-sale/oostende/8400/9073778,8400,False,apartment,140000.0,1,,False,False,False,False,,False,,,,False,
47,https://www.immoweb.be/en/classified/duplex/for-sale/lier/2500/9073777,2500,False,duplex,319000.0,2,164.0,True,False,False,True,15.0,False,,,,False,
48,https://www.immoweb.be/en/classified/apartment/for-sale/yvoir/5530/9073775,5530,False,apartment,79000.0,1,68.0,False,False,False,False,,False,,,,False,
49,https://www.immoweb.be/en/classified/apartment/for-sale/ciney/5590/9073774,5590,False,apartment,239000.0,3,142.0,False,False,False,False,,True,,,,False,
50,https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-lambert/1200/9073765,1200,False,apartment,255000.0,2,,False,False,False,True,,False,,,,False,
51,https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/9073761,1050,False,apartment,395000.0,2,85.0,True,False,False,False,,False,,,,False,
52,https://www.immoweb.be/en/classified/apartment/for-sale/oostende/8400/9073754,8400,False,apartment,335000.0,2,98.0,True,False,False,True,32.0,False,,,,False,
53,https://www.immoweb.be/en/classified/apartment/for-sale/knokke-centrum/8300/9073752,8300,False,apartment,495000.0,2,110.0,True,False,False,True,,False,,,,False,
54,https://www.immoweb.be/en/classified/apartment/for-sale/zellik/1731/9073738,1731,False,apartment,199000.0,2,90.0,True,False,False,True,7.0,False,,,,False,
55,https://www.immoweb.be/en/classified/apartment/for-sale/antwerp/2060/9073745,2060,False,apartment,159000.0,1,65.0,True,False,False,False,,False,,,,False,
56,https://www.immoweb.be/en/classified/kot/for-sale/antwerp/2000/9073744,2000,False,kot,121000.0,1,18.0,True,False,False,True,,False,,,,False,
