,source,postcode,house_is,property_subtype,rooms_number,area,equipped_kitchen_has,furnished,open_fire,terrace,terrace_area,garden,garden_area,land_surface,swimming_pool_has,region,building_state_agg,facades_number,price
1936,6,4500,HOUSE,HOUSE,4.0,4.941642422609304,True,False,False,True,0.0,False,0.0,5.220355825078324,False,W,to_renovate,3.0,175000.0
1937,6,9999,HOUSE,HOUSE,3.0,5.272999558563747,True,False,False,True,0.0,False,0.0,5.181783550292085,False,W,to_renovate,3.0,179000.0
1938,6,9999,HOUSE,HOUSE,3.0,4.605170185988092,True,False,False,True,3.4011973816621555,True,5.521460917862246,5.940171252720432,False,W,to_renovate,3.0,189000.0
1939,6,4540,HOUSE,HOUSE,3.0,4.941642422609304,True,False,False,True,0.0,False,0.0,6.139884552226255,False,W,good,3.0,189500.0
1940,6,4460,HOUSE,HOUSE,3.0,4.997212273764115,True,False,False,True,2.8903717578961645,False,0.0,4.290459441148391,False,W,good,3.0,190000.0
1941,6,9600,HOUSE,HOUSE,4.0,5.135798437050262,True,False,False,False,0.0,False,0.0,4.499809670330265,False,F,renovated,3.0,198000.0
1942,6,9700,HOUSE,HOUSE,3.0,5.049856007249537,True,False,False,True,0.0,False,0.0,6.922643891475888,False,F,to_renovate,3.0,245000.0
1943,6,4500,HOUSE,HOUSE,4.0,5.560681631015528,True,False,True,True,3.4011973816621555,False,0.0,5.225746673713202,False,W,good,3.0,249500.0
1944,6,4140,HOUSE,VILLA,3.0,4.955827057601261,True,False,False,True,2.8903717578961645,True,6.551080335043404,6.663132695990803,False,W,good,4.0,250000.0
1945,6,9999,HOUSE,HOUSE,3.0,5.442417710521793,True,False,False,True,3.044522437723423,False,0.0,5.365976015021851,False,F,to_renovate,3.0,255000.0
1946,6,5300,HOUSE,HOUSE,4.0,5.308267697401205,True,False,False,True,3.6888794541139363,True,6.214608098422191,6.697034247666484,False,W,good,3.0,265000.0
1947,6,2850,HOUSE,HOUSE,3.0,5.099866427824199,True,False,False,False,0.0,False,0.0,5.181783550292085,False,F,good,3.0,269000.0
1948,6,9999,HOUSE,HOUSE,3.0,4.941642422609304,True,False,False,True,0.0,True,5.393627546352362,5.771441123130016,False,W,good,3.0,279000.0
1949,6,4500,HOUSE,HOUSE,7.0,5.298317366548036,True,False,False,True,3.1780538303479458,True,6.98933526597456,7.124478262493424,False,W,to_renovate,3.0,299500.0
1950,6,1020,HOUSE,HOUSE,5.0,5.081404364984463,True,False,False,False,0.0,True,4.343805421853684,5.0106352940962555,False,B,to_renovate,3.0,315000.0
1951,6,9999,HOUSE,COUNTRY_COTTAGE,4.0,5.703782474656201,True,False,False,False,0.0,False,0.0,6.511745329644728,False,F,to_renovate,0.0,330000.0
1952,6,9999,HOUSE,VILLA,5.0,5.298317366548036,True,False,False,True,3.912023005428146,True,7.090076835776092,7.301147805856032,False,W,good,4.0,345000.0
1953,6,9999,HOUSE,VILLA,3.0,5.298317366548036,True,False,False,True,2.70805020110221,True,7.313220387090301,7.407924322559599,False,W,good,4.0,350000.0
